;landmark;x;y;landmark_mpipe;x_mpipe;y_mpipe
0;1;227;482;127;237;498
1;2;235;559;227;237;555
2;3;245;634;147;255;648
3;4;257;706;215;260;712
4;5;279;772;138;285;757
5;6;323;828;136;326;817
6;7;381;873;149;394;876
7;8;447;915;148;461;915
8;9;517;931;152;508;921
9;10;588;917;400;596;902
10;11;653;878;378;630;881
11;12;711;829;365;705;824
12;13;754;770;367;747;763
13;14;780;704;435;774;717
14;15;793;631;323;797;613
15;16;801;556;447;802;559
16;17;808;477;356;810;502
17;18;271;425;70;280;428
18;19;314;395;63;303;405
19;20;371;396;66;390;400
20;21;422;410;107;448;408
21;22;470;434;55;456;443
22;23;550;431;285;563;442
23;24;600;408;336;572;408
24;25;651;395;296;632;399
25;26;709;398;293;728;407
26;27;754;426;300;754;431
27;28;512;483;168;509;480
28;29;511;540;197;506;546
29;30;510;595;5;503;604
30;31;510;652;4;502;641
31;32;451;669;75;450;662
32;33;479;680;97;473;680
33;34;510;689;2;504;684
34;35;542;680;328;541;676
35;36;571;671;460;571;664
36;37;332;488;246;332;485
37;38;367;472;159;376;470
38;39;404;476;158;398;472
39;40;439;503;155;437;504
40;41;402;507;153;405;508
41;42;364;505;144;362;505
42;43;586;502;382;586;505
43;44;621;475;385;628;474
44;45;659;473;386;650;472
45;46;693;489;466;695;488
46;47;662;504;373;663;508
47;48;624;506;380;619;510
48;49;387;724;76;387;720
49;50;431;713;39;432;714
50;51;477;708;37;469;715
51;52;512;716;0;506;721
52;53;551;708;267;545;716
53;54;600;715;304;604;722
54;55;644;723;291;645;722
55;56;599;778;321;608;768
56;57;551;805;314;547;803
57;58;511;810;17;509;807
58;59;473;805;84;472;802
59;60;429;778;180;443;776
60;61;402;729;78;398;724
61;62;477;732;82;476;732
62;63;512;737;13;508;734
63;64;551;732;302;545;727
64;65;629;728;308;629;726
65;66;550;767;317;543;772
66;67;511;773;14;509;775
67;68;474;767;87;477;772
